"agente","ano","spearman_bruta_pad","razao_mediana","razao_min","razao_max","mun_razao_min","mun_razao_max"
"sarscov2",2022,0.988980164295732,1.00761336922964,0.770958874689214,1.32507793957629,"330290","330023"
"sarscov2",2023,0.994444487311055,1.00030481014551,0.711203144808791,1.2716886845371,"330205","330240"
"sarscov2",2024,0.993973652247033,1.00213737828153,0.743850206312389,1.41017243422871,"330475","330023"
"sarscov2",2025,0.993928373784489,1.01214996832567,0.741416228755879,1.48958972100958,"330090","330570"
"influenza",2022,0.999144747176793,1.00450879118227,0.813600161926233,1.77596572484873,"330400","330010"
"influenza",2023,0.998782109834463,0.973878663556206,0.831208427351251,1.20889594908517,"330110","330412"
"influenza",2024,0.990309268790281,0.992010823838956,0.771881380023434,1.54704058186885,"330615","330411"
"influenza",2025,0.996989486360057,0.993030911379827,0.826273434670804,1.84267096222931,"330385","330023"
"vsr",2022,0.998927112895411,0.925091462995894,0.613974911997217,1.24964390907814,"330615","330330"
"vsr",2023,0.998146272806852,0.931822480661814,0.749493689789722,1.18417842794464,"330140","330330"
"vsr",2024,0.996939249715558,0.945986673821313,0.713107983238167,1.37545758588277,"330515","330290"
"vsr",2025,0.994915491424751,0.933108112326151,0.613974911997217,1.22734799960352,"330615","330330"
