"ano","fichas","encerradas_com_data","encerramento_antes_dos_sintomas","dias_encerramento_mediana","dias_encerramento_p90","pct_encerradas_30d","pct_encerradas_60d","pct_encerradas_90d","dias_digitacao_mediana"
2022,38726,36132,0,22,84,58.1314878892734,77.2142746475236,85.1185250219491,10
2023,19640,18569,0,18,90,64.2209775967413,80.4735234215886,85.132382892057,9
2024,18190,17088,0,17,56,70.3683342495877,85.5579989004948,90.153930731171,9
2025,23324,22976,0,15,55,77.280912364946,89.868804664723,92.7027954038758,8
