"ano","versao","data_versao","dias_apos_fim_do_ano","fichas","fora_do_ano","encerradas","casos_sarscov2","casos_influenza","casos_vsr","pct_fichas","pct_encerradas","pct_casos_sarscov2","pct_casos_influenza","pct_casos_vsr","referencia"
2024,"26-06-2025",2025-06-26,180,18190,0,17430,2278,1727,2037,100,100,100,100,100,FALSE
2024,"23-03-2026",2026-03-23,450,18190,0,17430,2278,1727,2037,100,100,100,100,100,TRUE
2025,"09-03-2026",2026-03-09,65,23240,0,23066,1089,2754,3809,99.639855942377,99.482446303804,100,100,99.9213011542497,FALSE
2025,"04-05-2026",2026-05-04,121,23307,0,23166,1089,2755,3811,99.9271137026239,99.913741050634,100,100.036310820625,99.9737670514166,FALSE
2025,"01-06-2026",2026-06-01,149,23314,0,23178,1090,2754,3811,99.9571257074258,99.9654964202536,100.091827364555,100,99.9737670514166,FALSE
2025,"06-07-2026",2026-07-06,184,23318,0,23180,1089,2754,3811,99.9742754244555,99.9741223151902,100,100,99.9737670514166,FALSE
2025,"03-08-2026",2026-08-03,212,23322,0,23183,1089,2754,3811,99.9914251414852,99.9870611575951,100,100,99.9737670514166,FALSE
2025,"24-08-2026",2026-08-24,233,23324,0,23187,1089,2754,3812,100,100.004312947468,100,100,100,FALSE
2025,"14-09-2026",2026-09-14,254,23324,0,23186,1089,2754,3812,100,100,100,100,100,TRUE
