"ano","medida","rotulo","municipios","rho","ic_inf","ic_sup","reamostras"
2022,"leitos_sus_100k","Leitos SUS",92,0.184155764359107,-0.0475350061948197,0.402131092961,9999
2022,"uti_sus_100k","Leitos de UTI SUS",92,0.395818572613884,0.196961421059449,0.568676186632319,9999
2023,"leitos_sus_100k","Leitos SUS",92,0.270026519619512,0.058159025023603,0.472019437170794,9999
2023,"uti_sus_100k","Leitos de UTI SUS",92,0.327979976617557,0.110239174847462,0.521839934312654,9999
2024,"leitos_sus_100k","Leitos SUS",92,0.0388967689980034,-0.177945758979602,0.262914898728344,9999
2024,"uti_sus_100k","Leitos de UTI SUS",92,0.365473132153539,0.162472714308852,0.548561763933766,9999
2025,"leitos_sus_100k","Leitos SUS",92,0.111220739725106,-0.10433420426002,0.32150821913465,9999
2025,"uti_sus_100k","Leitos de UTI SUS",92,0.34946292606036,0.14510391565066,0.529399435856773,9999
